status,occurrence_key,institutionCode,family,species,license,width,height,dorsal_score,raw_path,skeleton_path,url
accepted,2446115935,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7729,museum_butterfly_dorsal/raw_images/nhmuk_2446115935.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446115935_skeleton.png,https://data.nhm.ac.uk/media/ea120938-1297-4764-a9a7-c3747494ffca
reject_not_dorsal,4910226946,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.6163,,,https://data.nhm.ac.uk/media/5f08a93f-06e4-423c-b7fa-0f86de160aaf
accepted,4910226946,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.6233,museum_butterfly_dorsal/raw_images/nhmuk_4910226946.jpg,museum_butterfly_dorsal/skeletons/nhmuk_4910226946_skeleton.png,https://data.nhm.ac.uk/media/4c93da83-60c7-449e-9c91-930bf3306505
accepted,2446312458,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8219,museum_butterfly_dorsal/raw_images/nhmuk_2446312458.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446312458_skeleton.png,https://data.nhm.ac.uk/media/48b37a05-d4d0-4158-bf19-1c6dfe6a8712
accepted,2446313079,NHMUK,Papilionidae,Trogonoptera brookiana,http://creativecommons.org/licenses/by/4.0/,1440,960,0.8430,museum_butterfly_dorsal/raw_images/nhmuk_2446313079.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446313079_skeleton.png,https://data.nhm.ac.uk/media/0d5fcdf8-91f0-4c9c-a533-1d465bd5c498
accepted,2446314162,NHMUK,Papilionidae,Troides helena,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7575,museum_butterfly_dorsal/raw_images/nhmuk_2446314162.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446314162_skeleton.png,https://data.nhm.ac.uk/media/f35a40ca-6281-437b-ac1e-df012c778032
reject_not_dorsal,4910266604,NHMUK,Papilionidae,Papilio fuscus,http://creativecommons.org/licenses/by/4.0/,1440,1080,0.5993,,,https://data.nhm.ac.uk/media/001942a7-99ff-41bc-9cb1-83f4d2e9ba7b
accepted,2446091930,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7802,museum_butterfly_dorsal/raw_images/nhmuk_2446091930.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091930_skeleton.png,https://data.nhm.ac.uk/media/5f817eb3-1a7c-436a-a03a-b553c77b44c4
accepted,2446091912,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7648,museum_butterfly_dorsal/raw_images/nhmuk_2446091912.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091912_skeleton.png,https://data.nhm.ac.uk/media/6ed11c13-bdaa-466a-8483-0ced9307a105
accepted,2446091932,NHMUK,Papilionidae,Ornithoptera priamus,http://creativecommons.org/licenses/by/4.0/,1440,960,0.7870,museum_butterfly_dorsal/raw_images/nhmuk_2446091932.jpg,museum_butterfly_dorsal/skeletons/nhmuk_2446091932_skeleton.png,https://data.nhm.ac.uk/media/2ee6a6d6-adbe-47e3-8729-7ded595081f9
